passion,intro_video,blurb,mini_project,mini_project_link,summary,project,notes,abbreviation,field,subfield_1,subfield_2,primary_subcategory,secondary_subcategory,keywords,user_ids
Chemistry,https://www.youtube.com/watch?v=izeuGr0lbN0,"Chemistry is a branch of physical science that studies the composition, structure, properties and change of matter.",Accelerate Rusting,http://www.sciencefairadventure.com/Chemistry.aspx,,http://www.sciencefairadventure.com/Chemistry.aspx,,,STEM,Natural Sciences,,,,,
Earth and Environmental Science,https://www.youtube.com/watch?v=T20RT0GgOB4,"Environmental science is a multidisciplinary academic field that integrates physical, biological and information sciences (including but not limited to ecology, biology, physics, chemistry, zoology, mineralogy, oceanology, limnology, soil science, geology, atmospheric science, geography and geodesy) to the study of the environment, and the solution of environmental problems. ",Carbon in the Atmosphere,http://www.sciencefairadventure.com/ProjectDetail.aspx?ProjectID=228,,http://www.sciencefairadventure.com/EnvironmentalScience.aspx,,,STEM,Natural Sciences,,,,,
Environmental Studies,,,,,,,,,STEM,Natural Sciences,,,,,
Geology,https://www.youtube.com/watch?v=8sKMp5OP8WA,"Geology (from the Greek γῆ, gē, i.e. ""earth"" and -λoγία, -logia, i.e. ""study of, discourse""[1][2]) is an earth science comprising the study of solid Earth, the rocks of which it is composed, and the processes by which they change.",Homemade Volcano,http://www.sciencefairadventure.com/ProjectDetail.aspx?ProjectID=174,,http://www.sciencefairadventure.com/EarthScience.aspx,,,STEM,Natural Sciences,,,,,
Physics,https://www.youtube.com/watch?v=-ccSQVpk8Q8,"Physics (from Ancient Greek: φυσική (ἐπιστήμη) phusikḗ (epistḗmē) ""knowledge of nature"", from φύσις phúsis ""nature""[1][2][3]) is the natural science that involves the study of matter[4] and its motion through space and time, along with related concepts such as energy and force.",Create Lightening,http://www.sciencefairadventure.com/ProjectDetail.aspx?ProjectID=125,,http://www.sciencefairadventure.com/Physics.aspx,,,STEM,Natural Sciences,,,,,
Bioethics,https://youtu.be/JEet2Q4BI_g,"Bioethics is the study of the typically controversial ethical issues emerging from new situations and possibilities brought about by advances in biology and medicine. It is also moral discernment as it relates to medical policy, practice, and research. (Wiki)","For understanding bioethics it is best to to think through different situations that might arise. Choose 3 case studies from the list provided and discuss the cases with your family, friends, or others who might hold a differign view point from your own to see all of the points of view that arise.",http://www.mhhe.com/biosci/genbio/olc_linkedcontent/bioethics_cases/index.html,The case studies draw on several controversial topics with few clear resolutions. After going through the mini-project you should be able to see the range of opinions that arise during these hotly debated topics and gotten a feel for how important these discussions are.,,,,Public Enterprise,Public Service,"Ethics, Politics, & Philosophy",,,,
Healh Care Management,,,,,,,,,Public Enterprise,Public Service,"Ethics, Politics, & Philosophy",,,,
Health Policy Research,,,,,,,,,Public Enterprise,Public Service,"Ethics, Politics, & Philosophy",,,,
Medical Ethics,,,,,,,,,Public Enterprise,Public Service,"Ethics, Politics, & Philosophy",,,,
Social Policy,,,,,,,,,Public Enterprise,Public Service,"Ethics, Politics, & Philosophy",,,,
Philosophy,,,,,,,,,Public Enterprise,Public Service,"Ethics, Politics, & Philosophy",,,,
Political Science,,,,,,,,,Public Enterprise,Public Service,"Ethics, Politics, & Philosophy",,,,
Public Health,,,,,,,,,Public Enterprise,Public Service,"Ethics, Politics, & Philosophy",,,,
City and Regional Planning,https://youtu.be/R8PZ52iPl-I,"This passion stems from a desire to weave together the tapestry of your environment so that everyone's needs are taken into consideration and the beauty of the local culture is able to shine through. Looking at all of the different needs of the residents of an area, working with restricted budgets, and thinking through different area layouts to build work, play, and living spaces for people is what City and Regional Planners work to do.","You have been assigned to imagine, detail, and construct the layout for a new city, Tomorrowton. Write down the demographics, type of work in the city, location, natural environment, and all other details you can think of for your city. Next you will need create a snapshot of your city using the link provided. Make sure to consider all of the needs of the different people who will be living and visiting your city throughout the year. [A more advanced version of this project can be performed by assigning costs to each of the different items that can be used for construction, forming groups for this project, and giving different budgets for designing Tomorrowton.] Once you have finished creating your city, discuss your snapshot with other participants in the project as well as your friends and family.",http://kids.tate.org.uk/games/my-imaginary-city/,"City planning is all about figuring out the needs of the group you are designing for, the feel of the environment that best reflects the culture of the people, and working with the local people to make the future they want to see.",,,,Public Enterprise,Public Service,Civil Service,,,,
Criminology,https://youtu.be/xs_O-j46Q2I,"Criminology is the scientific study of the nature, extent, management, causes, control, consequences, and prevention of criminal behavior, both on the individual and social levels. (Wiki)","To explore this passion you will be working to solve a crime or series of crimes. As a detective you will have to think through how the crime could have played out, who could have done the crime, their motives, as well as the reasons why someone would have commiteed the crime.",http://armorgames.com/play/13622/detective-grimoire-the-beginning,"This project should have shown the approach needed for taking apart a crime scene, understanding all of the different players involved, finding and following leads, as well as the mechanics at play when working through a case.",,,,Public Enterprise,Public Service,Civil Service,,,,
Education,,A passion for education means you love to watch people learn and helping them along the way gives you joy.,,,,,,,Public Enterprise,Public Service,Civil Service,,,,
Government Administration,,,,,,,,,Public Enterprise,Public Service,Civil Service,,,,
Landscape Architecture & Regional Planning,,,,,,,,,Public Enterprise,Public Service,Civil Service,,,,
Military Science,,,,,,,,,Public Enterprise,Public Service,Civil Service,,,,
Nonprofit Leadership,,,,,,,,,Public Enterprise,Public Service,Civil Service,,,,
Naval Science,,,,,,,,,Public Enterprise,Public Service,Civil Service,,,,
Social Work,,,,,,,,,Public Enterprise,Public Service,Civil Service,,,,
Urban Spatial Analytics,,,,,,,,,Public Enterprise,Public Service,Civil Service,,,,
Art and Archaeology of the Mediterranean World,,,,,,,,,Public Enterprise,Public Service,History & Civilizations,,,,
Africana Studies,,,,,,,,,Public Enterprise,Public Service,History & Civilizations,,,,
African Studies,,,,,,,,,Public Enterprise,Public Service,History & Civilizations,,,,
Ancient History,,,,,,,,,Public Enterprise,Public Service,History & Civilizations,,,,
Anthropology,,,,,,,,,Public Enterprise,Public Service,History & Civilizations,,,,
Classical Studies,,,,,,,,,Public Enterprise,Public Service,History & Civilizations,,,,
Asian American Studies,https://www.youtube.com/watch?v=lLh3RgMR38E,"Asian American Studies is an academic discipline which critically examines the history, experiences, culture, and policies relevant to Asian Americans. It is closely related to other Ethnic Studies disciplines, such as African American Studies, Middle Eastern studies (including Jewish studies and Arab studies), Latino/a Studies, and Native American Studies.",,,,,,,Public Enterprise,Public Service,Social Science,,,,
Communications,https://youtu.be/QnCBCQa-2XU,"Communication (from Latin commūnicāre, meaning ""to share"") is a purposeful activity of exchanging information and meaning across space and time using various technical or natural means, whichever is available or preferred. On a fundamental level, communication entails three steps 1) thought by the sender, 2) encoding of thoughts by the sender in words or other methods, and 3) decoding of the message by the receiver. (Wiki) ",,,,,,,Public Enterprise,Public Service,Social Science,,,,
Demography,https://www.youtube.com/watch?v=-aZPCFB-YPw,"Demography is the statistical study of populations, including of human beings. As a very general science, it can analyze any kind of dynamic living population, i.e., one that changes over time or space (see population dynamics).",,,,,,,Public Enterprise,Public Service,Social Science,,,,
Gender Studies and Women's Studies,https://www.youtube.com/watch?v=hUij58MUiKk,"Gender studies is a field for interdisciplinary study devoted to gender identity and gendered representation as central categories of analysis. This field includes women's studies (concerning women, feminism, gender, and politics), men's studies and LGBT studies.",,,,,,,Public Enterprise,Public Service,Social Science,,,,
Health and Societies,https://www.youtube.com/watch?v=ey0-4eAFkt4,,,,,,,,Public Enterprise,Public Service,Social Science,,,,
Jewish Studies Program,https://www.youtube.com/watch?v=euOwfX_1buA,"Jewish studies (or Judaic studies) is an academic discipline centered on the study of Jews and Judaism. Jewish studies is interdisciplinary and combines aspects of history (especially Jewish history), Middle Eastern studies, Asian studies, Oriental studies, religious studies, archeology, sociology, languages (Jewish languages), political science, area studies, women's studies, and ethnic studies. Jewish studies as a distinct field is mainly present at colleges and universities in North America.",,,,,,,Public Enterprise,Public Service,Social Science,,,,
Latin American and Latino Studies,https://www.youtube.com/watch?v=azwSil-x-U0,"Latin American studies critically examines the history, culture, politics, and experiences of Latin Americans in Latin America and often also elsewhere (such as Latinos/Hispanics in the United States).
Latina/o studies is an academic discipline which studies the experience of people of Hispanic ancestry in the United States. Closely related to other ethnic studies disciplines such as African American studies, Asian American studies, and Native American studies, Latino studies critically examines the history, culture, politics, issues, and experiences of Hispanic people. ",,,,,,,Public Enterprise,Public Service,Social Science,,,,
Sociology,https://www.youtube.com/watch?v=W-QWeK4wwOw,"Sociology is the scientific study of social behavior or society, including its origins, development, organization, networks, and institutions. It is a social science that uses various methods of empirical investigation and critical analysis to develop a body of knowledge about social order, social disorder and social change. ",,,,,,,Public Enterprise,Public Service,Social Science,,,,
"Science, Technology, and Society",https://www.youtube.com/watch?v=UDFov6yqTKc&list=PLEZDluwK-sMZTeJWMDaNXA33jV2xz2gDt,"Science, technology and society (STS), also referred to as science and technology studies is a branch or offspring of science studies. It considers how social, political, and cultural values affect scientific research and technological innovation, and how these, in turn, affect society, politics and culture.",,,,,,,Public Enterprise,Public Service,Social Science,,,,
Telecommunications,https://www.youtube.com/watch?v=0DgLrFu6cY4,"Telecommunication occurs when the exchange of information between two or more entities (communication) includes the use of technology. Communication technology uses channels to transmit information (as electrical signals), either over a physical medium (such as signal cables), or in the form of electromagnetic waves. The word is often used in its plural form, telecommunications, because it involves many different technologies.",,,,,,,Public Enterprise,Public Service,Social Science,,,,
Urban Studies,https://www.youtube.com/watch?v=KpxBIELgZn8,"Urban studies is the diverse range of disciplines and approaches to the study of all aspects of cities, their suburbs, and other urban areas. This includes among others: urban economics, urban planning, urban ecology, urban transportation systems, urban politics, sociology and urban social relations. This can be contrasted with the study of rural areas and rural lifestyles.",,,,,,,Public Enterprise,Public Service,Social Science,,,,
Accounting,https://youtu.be/-0BiYa8I2Is,"Accounting, or accountancy, is the measurement, processing and communication of financial information about economic entities. Accounting, which has been called the ""language of business"", measures the results of an organization's economic activities and conveys this information to a variety of users including investors, creditors, management, and regulators. (Wiki)","The best way to know what accounting and business is like is to get your mind around some of the basics. Work through the following guide ( http://www.accountingcoach.com/accounting-basics/explanation ) either on your own, with a friend/family member, or in a group to think through the basics of accounting. Then take the quiz on your own to see how much you remember.",http://www.accountingcoach.com/accounting-basics/quiz,"Accounting is how businesses let people know how they are doing. After completing the mini-project you should have a better grasp of the kinds of things those passionate about speaking ""the language of business"" do every day.",,,,Public Enterprise,Business,,,,,
Business Economics & Public Policy,,,,,,,,,Public Enterprise,Business,,,,,
Organizational Dynamics,,"The study of how people in a large company or organization behave and react to each other, and of how the organization can be made to work more effectively ( http://dictionary.cambridge.org/us/dictionary/business-english/organizational-dynamics )",,,,,,,Public Enterprise,Business,,,,,
Economics,https://youtu.be/2YULdjmg3o0,"Economics is the social science that studies economic activity to gain an understanding of the processes that govern the production, distribution and consumption of goods and services in an economy. (Wiki) The intro video gives a broad overview of some key terms important for being passionate about economics.",,,,,,,Public Enterprise,Business,,,,,
Finance,https://youtu.be/w0xhDhlosXU,Finance is a field that deals with the allocation of assets and liabilities over time under conditions of certainty and uncertainty. Finance also applies and uses the theories of economics at some level. Finance can also be defined as the science of money management. (Wiki),"To learn more by doing you will practice the basics of finance. Work through the problems in the Time Value of Money: Basic section, search any terms that are confusing to you, and check to make sure you understand any mistakes you made.",http://www.empowerosity.com/FinancePractice/,After this project you should be able to understand a few key concepts of finance as well as how to apply them. You can dive deeper into your passion and get on your way to finding out more about your potential passion for making companies sustainable regardless of their economic climates.,,,,Public Enterprise,Business,,,,,
International Relations,https://youtu.be/y32cFdicW1U?list=PLB5965C13F4B0B2DA,"International Relations is the study of relationships among countries, the roles of sovereign states, inter-governmental organizations (IGO), international non-governmental organizations (INGO), non-governmental organizations (NGO), and multinational corporations (MNC). (Wiki) International relations in business works to think through how businesses in different countries work together in the global marketplace. The intro video talks about some of the factors at play when we thinking about international relations.",You are going to dive deeper into this passion by going past the first 10 videos in the playlist following the introduction video. Think through the topics covered and see how they can be related to current news you have heard in your own life.,,"This passion is all about think through how people and organizations from different cultures come together. After completing this mini-project you should have a better understanding of the key terms, the consequences of the decisions being made, and the scale on which some of these decisions operate and need to be analyzed.",,,,Public Enterprise,Business,,,,,
Legal Studies,,"This is exactly as it sounds, Legal Studies is the study of law.",It is hard to know the law without examples to work through. For this project you will work through questions to see what your reasoning should be and ways that you could better think through questions. Form question sets of 5 or 10 using the linked tool and work to get more than 80% of the questions right. If the questions are difficult form teams and think through the problems together. Make sure to be share your reasoning and make logical yet creative jumps in forming your arguments. ,http://www4.boardofstudies.nsw.edu.au/specTest.cfm?courseID=15220,,,,,Public Enterprise,Business,,,,,
Business Ethics,http://www.investopedia.com/terms/b/business-ethics.asp,Business ethics (also corporate ethics) is a form of applied ethics or professional ethics that examines ethical principles and moral or ethical problems that arise in a business environment. It applies to all aspects ofbusiness conduct and is relevant to the conduct of individuals and entire organizations. (Wiki),"Business ethics involves a variety of situations. In this mini-project, you will read about situations that arise in business and write about how you think the situation should be ethically handled.",http://smallbusiness.chron.com/examples-ethical-issues-business-24464.html,"Each year, the Ethisphere Institute names an international list of companies it deems to be the most ethical. Choose a company from this list and research some of their ethical business practices. Write about these practices, and also write about practices that would be deemed non-ethical. Form an opinion about whether you believe the company deserves its position about on the list, using your research as evidence.",http://web.ethisphere.com/worlds-most-ethical/wme-honorees/,,,Public Enterprise,Business,,,,,
Management,https://www.youtube.com/watch?v=FcMR82XCdsc,Management in businesses and organizations is the function that coordinates the efforts of people to accomplish goals and objectives by using available resources efficiently and effectively. (wiki),"We perform management skills in all parts of our lives. For this mini-project you will exercise your skills in time management. Pretend you are an adult with a spouse and two children. Your job pays decently when you work 40 hours for 5 days a week, but you have the option of working more hours and more days. Plan out a typical week in your life, being sure to include time for work, eating, leisure/hobbies, family, and sleep. You can do this on paper, or use your favorite online/eletronic calendar.",http://calendar.google.com/,"Sometimes the best way to practice management skills is to assess a hypothetical (or real) problem and develop a solution. This is know as a case study. You will try to analyze this case, giving your opinion on how it should be managed.","Amy, a registered dietitian recently promoted to director of Food and Nutrition, is trying to make the kitchen schedule for next month. All day long, employees drop into her office to let her know their needs and desires. A few employees can work only 3 or 4 days in a row, because they get too tired otherwise. Most every employee has a shift preference. Some of the employees already are asking to change their regular weekend off. Some of the employees are requesting specific days of the week off. A couple of employees have stated that they have child care issues, and that if they are scheduled on certain shifts or days, they will need to leave in the middle of the day to get their children off the school bus or to find them a place to stay after school. After several hours of working on the schedule, Amy thinks that she is finished, and she makes copies to distribute to all of the employees and then hangs another copy on the bulletin board in the kitchen. When she comes back later, she finds that employees have written all over the schedule—switching shifts and days with each other, circling days that they do not think they can work, and writing notes on the bottom of the schedule to each other. She also finds a number of day-off requests in her mailbox and under her office door for days that the employees were already scheduled to work. Worse yet, the employees are very disgruntled and come to her saying things such as, “I told you that I cannot work on Tuesdays. Did you forget?” Amy has no memory of several of these conversations. What should Amy do to fix these issues?",,,Public Enterprise,Business,,,,,
Marketing,https://www.youtube.com/watch?v=i1xz5Kv-7VY,"Marketing includes all the ways a company communicates with others. This can include how its corporate image, public relations, and its product's brand.",,,,,,,Public Enterprise,Business,,,,,
Operations and Information Management,https://www.youtube.com/watch?v=aMvU0FhXKxQ,"Operations and Information Management is about achieving the most efficient result using the resources at hand, which can include employees, wealth, or capital",, ,,,,,Public Enterprise,Business,,,,,
Real Estate,https://www.youtube.com/watch?v=ChDcBmG_DVo,,,,,,,,Public Enterprise,Business,,,,,
